gid,gstart,gend,old_zdb
gene-gucy2ca,2488380,2525072,ZDB-GENE-091118-67
gene-gzm3.2,34342543,34351088,ZDB-GENE-070912-133
gene-gzma,20868299,20872100,ZDB-GENE-091204-156
gene-h1l1,6192609,6194008,ZDB-GENE-160113-58
gene-h2ax2,6113600,6114186,ZDB-GENE-160113-112
gene-hap1,11988123,12077926,ZDB-GENE-141215-28
gene-hccsa.2,17346583,17357070,ZDB-GENE-090501-4
gene-hce2l1,13041161,13047625,ZDB-GENE-070912-147
gene-hcn4l,31580634,31689801,ZDB-GENE-110411-3
gene-helq,20677214,20694015,ZDB-GENE-060503-421
gene-hephl1b,29370111,29393939,ZDB-GENE-091204-388
gene-hes2.1,56648677,56653606,ZDB-GENE-081104-104
gene-hist1h2a10,37686113,37686582,ZDB-GENE-131127-92
gene-hist1h2a11,5637106,5637683,ZDB-GENE-081205-1
gene-hist1h2a7,5690022,5690682,ZDB-GENE-160113-98
gene-hist2h3ca1,5709702,5710328,ZDB-GENE-030722-8
gene-histh1l3,37695215,37700856,ZDB-GENE-131121-2
gene-hivep2b,7523855,7565255,ZDB-GENE-130530-562
gene-hmx3b,51611296,51614225,ZDB-GENE-130603-102
gene-hpse2,43988901,44189582,ZDB-GENE-090313-378
gene-hs6st3a,8088967,8141102,ZDB-GENE-120215-57
gene-htr1fa,20852775,20911767,ZDB-GENE-081105-125
gene-htr1fb,37118597,37160546,ZDB-GENE-090312-140
gene-htr2cl2,47356228,47374044,ZDB-GENE-120215-109
gene-htr3a,24575779,24591992,ZDB-GENE-071012-5
gene-htr7a,24860060,24867148,ZDB-GENE-130530-666
gene-htr7b,25019562,25058220,ZDB-GENE-091118-105
gene-htr7c,17236047,17322823,ZDB-GENE-060526-5
gene-htra2-3,9457304,9473792,ZDB-GENE-081028-21
gene-htra2-6,9566341,9587262,ZDB-GENE-141219-11
gene-htra2-7,9591923,9599995,ZDB-GENE-081028-27
gene-hyal3,28271978,28282795,ZDB-GENE-081104-366
gene-hykk.1,36627985,36637710,ZDB-GENE-131120-24
gene-iffo2a,24290819,24329330,ZDB-GENE-090313-342
gene-ifi30b,7475856,7480906,ZDB-GENE-131127-557
gene-ifnphi2,21085017,21086302,ZDB-GENE-071128-1
gene-ifnphi3,21077912,21080262,ZDB-GENE-071128-2
gene-igfn1.3,49375143,49405968,ZDB-GENE-131122-44
gene-igfn1.4,49302179,49320726,ZDB-GENE-131125-85
gene-ighd,32784922,32969579,ZDB-GENE-040513-9
gene-igsf5b,6234116,6317506,ZDB-GENE-130530-1011
gene-igsf9a,23916611,23975852,ZDB-GENE-060503-288
gene-ikzf2,41679932,42077463,ZDB-GENE-100922-169
gene-il17a/f2,13914459,13937593,ZDB-GENE-061031-2
gene-il17c,18460504,18461750,ZDB-GENE-061031-5
gene-illr2,3691384,3694858,ZDB-GENE-050311-3
gene-im:7142016,756482,776041,ZDB-GENE-201119-1
gene-inavaa,25648222,25670696,ZDB-GENE-081105-161
gene-inpp5a,55883766,56095545,ZDB-GENE-110930-10
gene-inpp5d,30639319,30690858,ZDB-GENE-100922-30
gene-insyn2ab,33394241,33601202,ZDB-GENE-120709-85
gene-ipmka,45409563,45433993,ZDB-GENE-090312-161
gene-iqsec2b,43666581,43842636,ZDB-GENE-081105-73
gene-iqsec3b,7567607,7639147,ZDB-GENE-050420-210
gene-irbpl,3057242,3060021,ZDB-GENE-070301-4
gene-isg15,20840281,20841535,ZDB-GENE-021211-1
gene-itga4,45722440,45830345,ZDB-GENE-110411-108
gene-itih5,25872994,25897891,ZDB-GENE-041210-193
gene-itprid1,36593644,36632574,ZDB-GENE-091204-197
gene-jac3,8419536,8438246,ZDB-GENE-160114-66
gene-jac4,8307847,8309237,ZDB-GENE-030131-8643
gene-jade2,49542071,49570133,ZDB-GENE-120215-66
gene-jag2a,36933815,37002535,ZDB-GENE-130530-549
gene-jakmip2,46612695,46822221,ZDB-GENE-091204-293
gene-jph1a,16091674,16179512,ZDB-GENE-040724-233
gene-jupb,6360359,6537096,ZDB-GENE-110407-10
gene-kalrna,4170713,4444345,ZDB-GENE-100921-4
gene-kank1b,33843582,33858095,ZDB-GENE-060526-260
gene-kank2,57702911,57762289,ZDB-GENE-040724-121
gene-kansl1l,40450017,40485086,ZDB-GENE-081104-473
gene-kbtbd13a,13751161,13753168,ZDB-GENE-140106-122
gene-kbtbd13b,31999107,32001805,ZDB-GENE-131127-524
gene-kcnb1,49035036,49094450,ZDB-GENE-090831-3
gene-kcng4b,57631470,57638923,ZDB-GENE-130530-634
gene-kcnh4b,13970931,14048869,ZDB-GENE-121214-54
gene-kcnh7,11380060,11535898,ZDB-GENE-120214-39
gene-kcnh8,22895136,23063906,ZDB-GENE-060503-204
gene-kcnip2,36987471,37014242,ZDB-GENE-081031-91
gene-kcnj16a,38194232,38210996,ZDB-GENE-130603-81
gene-kcnj20,40125983,40143461,ZDB-GENE-131127-162
gene-kcnj2b,11364972,11371835,ZDB-GENE-091204-290
gene-kcnj3a,4479574,4514310,ZDB-GENE-100922-16
gene-kcnj4,1176245,1194735,ZDB-GENE-160216-3
gene-kcnk2a,34362144,34403428,ZDB-GENE-061226-2
gene-kcnk3a,14597690,14631928,ZDB-GENE-040724-171
gene-kcnk9,4843136,4911953,ZDB-GENE-070705-260
gene-kcnmb3,8170235,8185031,ZDB-GENE-130603-15
gene-kcnn2,22438479,22534406,ZDB-GENE-091116-41
gene-kcnv1,45403947,45431702,ZDB-GENE-100922-109
gene-kcp,8064015,8148180,ZDB-GENE-070705-443
gene-kiaa0319,41182446,41347192,ZDB-GENE-100922-40
gene-kif16ba,54552180,54591825,ZDB-GENE-090313-233
gene-kif25,33687768,33707239,ZDB-GENE-041001-167
gene-kif26bb,38311232,38343644,ZDB-GENE-041001-188
gene-kifl,26199369,26203781,ZDB-GENE-060526-265
gene-klb,961399,972669,ZDB-GENE-110909-4
gene-klhl10b.2,8666199,8675528,ZDB-GENE-131127-61
gene-klhl23,49991135,50041488,ZDB-GENE-081104-458
gene-klhl35,451014,554222,ZDB-GENE-091118-66
gene-klhl43,46658692,46691110,ZDB-GENE-141212-285
gene-kncn,21536563,21556842,ZDB-GENE-070705-385
gene-ksr1b,33649596,33748002,ZDB-GENE-040724-45
gene-kynu,768523,781061,ZDB-GENE-120215-204
gene-lacc1,20175875,20187944,ZDB-GENE-081104-155
gene-lamb1b,26358458,26405242,ZDB-GENE-041210-197
gene-larp4aa,30429979,30469521,ZDB-GENE-090313-50
gene-lbx1a,31690786,31802707,ZDB-GENE-040724-40
gene-lctlb,20854079,20871495,ZDB-GENE-060503-93
gene-lgals9l6,33587400,33589672,ZDB-GENE-131119-90
gene-lhx6b,70822154,70829601,ZDB-GENE-060531-41
gene-limk1b,44074734,44104332,ZDB-GENE-110411-106
gene-linc.5888,10654716,10657627,ZDB-LINCRNAG-131127-600
gene-linc.alien,45918084,45936117,ZDB-LINCRNAG-131121-325
gene-linc.sox4a,31099857,31202290,ZDB-LINCRNAG-120215-144
gene-lmln,40215350,40230730,ZDB-GENE-081104-298
gene-lmod2b,4472739,4477803,ZDB-GENE-041210-356
gene-LOC100007225,35486988,35490697,ZDB-GENE-200723-1
gene-LOC100150342,29649762,29656865,ZDB-GENE-041001-120
gene-LOC100329627,1766780,1783939,ZDB-GENE-050208-544
gene-LOC101882203,10083719,10092112,ZDB-GENE-091112-8
gene-LOC101885015,51157756,51160051,ZDB-GENE-141216-242
gene-LOC101886630,8833164,8837547,ZDB-LINCRNAG-070705-118
gene-LOC101886807,8663613,8668148,ZDB-GENE-060531-134
gene-LOC103908739,2863484,2866273,ZDB-GENE-050609-35
gene-LOC103911725,9548925,9557336,ZDB-GENE-110411-53
gene-LOC103911737,22452954,22456085,ZDB-GENE-081028-50
gene-LOC108179942,41301031,41306169,ZDB-GENE-070912-9
gene-LOC110437883,697195,709294,ZDB-GENE-041111-100
gene-LOC110438685,45207282,45215902,ZDB-GENE-131120-5
gene-LOC110439812,26203559,26220894,ZDB-GENE-060526-350
gene-LOC137487230,55547415,55584063,ZDB-GENE-090429-4
gene-LOC137491464,55440147,55448454,ZDB-GENE-030131-2002
gene-LOC141375439,62396164,62397547,ZDB-GENE-071004-112
gene-LOC141375644,30228403,30235637,ZDB-GENE-081104-348
gene-LOC141376655,39016481,39023732,ZDB-GENE-141216-426
gene-LOC141377658,2725404,2728485,ZDB-GENE-041118-1
gene-LOC141380118,2028073,2042950,ZDB-GENE-050208-386
gene-LOC561147,26897134,26908293,ZDB-GENE-070912-567
gene-LOC569077,29612366,29621990,ZDB-GENEP-041001-14
gene-LOC796962,33168916,33186007,ZDB-GENE-131118-8
gene-lonrf1,15528661,15547581,ZDB-GENE-081104-397
gene-lpar4,11037756,11054274,ZDB-GENE-120201-1
gene-lpin1b,50221048,50292565,ZDB-GENE-081031-51
gene-lrfn4a,29978876,29989873,ZDB-GENE-091113-56
gene-lrrc4bb,42010604,42028139,ZDB-GENE-091116-44
gene-lrrc53,11510062,11529778,ZDB-GENE-131121-432
gene-lrrc75ba,48513836,48597729,ZDB-GENE-081104-225
gene-lrrc8ab,70769156,70778805,ZDB-GENE-060531-43
gene-lrtm2b,20298940,20305830,ZDB-GENE-131121-544
gene-lsm10,4216478,4218833,ZDB-GENE-090508-7
gene-ltbp3,38420116,38488029,ZDB-GENE-060526-130
gene-ltn1,28038188,28077621,ZDB-GENE-091204-127
gene-ly6m4,6741469,6746760,ZDB-GENE-131127-479
gene-ly6m5,6751903,6755211,ZDB-GENE-131127-265
gene-lzts1,47942679,48008959,ZDB-GENE-081104-431
gene-maml3,43435048,43621031,ZDB-GENE-090313-292
gene-map1b,35895997,35926941,ZDB-GENE-130530-690
gene-map3k10,39865409,39932343,ZDB-GENE-050419-112
gene-marchf4b,54438615,54485784,ZDB-GENE-041210-304
gene-matcap2,26285743,26304939,ZDB-GENE-060503-438
gene-mc2r,33789450,33799878,ZDB-GENE-030502-2
gene-mcf2lb,31255099,31289212,ZDB-GENE-081104-416
gene-mchr2b,54748341,54763956,ZDB-GENE-030502-6
gene-mctp1b,49116292,49223371,ZDB-GENE-090313-382
gene-mctp2a,24756805,24849554,ZDB-GENE-040724-63
gene-mdp1,44076943,44087685,ZDB-GENE-090311-51
gene-mertka,51327569,51393481,ZDB-GENE-081107-1
gene-metrnlb,60648589,60660628,ZDB-GENE-121214-223
gene-mex3c,7632871,7645205,ZDB-GENE-130925-2
gene-mfap4.11,62443037,62445282,ZDB-GENE-121214-183
gene-mfap4.13,62363568,62365845,ZDB-GENE-110408-28
gene-mfap4.3,62340908,62344371,ZDB-GENE-110408-14
gene-mfap4.4,62245571,62247338,ZDB-GENE-071004-9
gene-mfap4.7,62434436,62438458,ZDB-GENE-121214-96
gene-mfrp,488693,504781,ZDB-GENE-160728-150
gene-mfsd3,26146131,26190434,ZDB-GENE-060526-263
gene-mhc1zfa,892923,903410,ZDB-GENE-130206-9
gene-mhc2dhb,43319980,43322305,ZDB-GENE-041010-13
gene-mindy2,30465292,30510996,ZDB-GENE-030616-328
gene-mir100-1,23901776,23901871,ZDB-MIRNAG-081203-8
gene-mir101a,33881226,33881306,ZDB-MIRNAG-090929-110
gene-mir101b,2681658,2681769,ZDB-MIRNAG-090929-111
gene-mir10a,28948031,28948129,ZDB-MIRNAG-041228-3
gene-mir10b-1,1950531,1950608,ZDB-MIRNAG-041217-4
gene-mir10c,22460511,22460605,ZDB-MIRNAG-070112-1
gene-mir10d,11825605,11825722,ZDB-MIRNAG-070112-2
gene-mir1-2,4393816,4393902,ZDB-MIRNAG-081205-6
gene-mir122,12246696,12246771,ZDB-MIRNAG-050609-27
gene-mir124-1,29984310,29984391,ZDB-MIRNAG-081208-2
gene-mir124-2,42186055,42186137,ZDB-MIRNAG-081208-3
gene-mir124-3,28411082,28411198,ZDB-MIRNAG-081208-5
gene-mir124-5,20684474,20684602,ZDB-MIRNAG-081208-7
gene-mir124-6,25015418,25015530,ZDB-MIRNAG-081208-8
gene-mir125a-1,26192704,26192786,ZDB-MIRNAG-081203-13
gene-mir125a-2,10535111,10535217,ZDB-MIRNAG-081211-3
gene-mir125b-1,23911799,23911943,ZDB-MIRNAG-081203-14
gene-mir125b-2,30614500,30614585,ZDB-MIRNAG-081211-4
gene-mir125b-3,43174962,43175076,ZDB-MIRNAG-090929-125
gene-mir125c,32305421,32305505,ZDB-MIRNAG-090929-126
gene-mir126a,13125237,13125337,ZDB-MIRNAG-090112-2
gene-mir128-1,12065376,12065473,ZDB-MIRNAG-081203-15
gene-mir128-2,45820101,45820223,ZDB-MIRNAG-081211-5
gene-mir130b,13989365,13989448,ZDB-MIRNAG-090929-134
gene-mir130c-1,22299547,22299687,ZDB-MIRNAG-090929-135
gene-mir130c-2,13978680,13978760,ZDB-MIRNAG-090929-136
gene-mir133a-1,4391620,4391718,ZDB-MIRNAG-070111-3
gene-mir133a-2,7220537,7220620,ZDB-MIRNAG-081211-10
gene-mir133b,22003060,22003143,ZDB-MIRNAG-090929-141
gene-mir135b,27903563,27903644,ZDB-MIRNAG-090929-291
gene-mir135c-1,40578749,40578828,ZDB-MIRNAG-081203-19
gene-mir135c-2,20964587,20964713,ZDB-MIRNAG-081211-11
gene-mir141,43211959,43212041,ZDB-MIRNAG-080506-4
gene-mir142a,3713942,3714032,ZDB-MIRNAG-090929-151
gene-mir142b,17813037,17813122,ZDB-MIRNAG-090929-152
gene-mir144,43081314,43081402,ZDB-MIRNAG-090929-155
gene-mir146a,12244826,12244939,ZDB-MIRNAG-090929-157
gene-mir150,31383588,31383666,ZDB-MIRNAG-081125-1
gene-mir153b,14953349,14953496,ZDB-MIRNAG-090929-163
gene-mir153c,7689719,7689869,ZDB-MIRNAG-090929-165
gene-mir155,851960,852037,ZDB-MIRNAG-090929-166
gene-mir15a-1,50029762,50029845,ZDB-MIRNAG-081208-10
gene-mir15a-2,31325877,31325978,ZDB-MIRNAG-050103-5
gene-mir15c,1583024,1583106,ZDB-MIRNAG-081208-13
gene-mir16a,1583195,1583281,ZDB-MIRNAG-081208-14
gene-mir16b,50029519,50029658,ZDB-MIRNAG-041228-16
gene-mir16c,31325718,31325853,ZDB-MIRNAG-071011-1
gene-mir17a-1,4187067,4187204,ZDB-MIRNAG-050609-18
gene-mir17a-2,55739495,55739577,ZDB-MIRNAG-081208-16
gene-mir181a-2,63019541,63019619,ZDB-MIRNAG-081208-11
gene-mir181b-1,48371129,48371237,ZDB-MIRNAG-041217-25
gene-mir181b-2,63019681,63019766,ZDB-MIRNAG-081208-15
gene-mir181c,33051315,33051392,ZDB-MIRNAG-041228-14
gene-mir187,36587659,36587747,ZDB-MIRNAG-041228-6
gene-mir18a,4186961,4187043,ZDB-MIRNAG-081208-17
gene-mir18b,55739382,55739468,ZDB-MIRNAG-081208-18
gene-mir18c,35977158,35977242,ZDB-MIRNAG-081208-19
gene-mir190b,17779522,17779611,ZDB-MIRNAG-090929-298
gene-mir192,31977670,31977754,ZDB-MIRNAG-041217-9
gene-mir193a-1,34819969,34820067,ZDB-MIRNAG-090929-171
gene-mir193a-2,24539446,24539543,ZDB-MIRNAG-090929-172
gene-mir193b,42784087,42784171,ZDB-MIRNAG-090929-174
gene-mir194a,31977490,31977573,ZDB-MIRNAG-070111-5
gene-mir194b,50091315,50091391,ZDB-MIRNAG-090929-176
gene-mir199-1a,1781994,1782089,ZDB-MIRNAG-041217-21
gene-mir199-2a,48273708,48273805,ZDB-MIRNAG-081212-2
gene-mir199-3a,16131074,16131160,ZDB-MIRNAG-041228-11
gene-mir19c,35976808,35976912,ZDB-MIRNAG-081208-23
gene-mir19d,39706,39792,ZDB-MIRNAG-081208-24
gene-mir200a,27012881,27012966,ZDB-MIRNAG-070111-6
gene-mir200b,27012750,27012831,ZDB-MIRNAG-080506-5
gene-mir200c,43212160,43212244,ZDB-MIRNAG-080506-6
gene-mir202,55010720,55010795,ZDB-MIRNAG-090929-182
gene-mir203a,50801628,50801723,ZDB-MIRNAG-041217-2
gene-mir203b,30134036,30134120,ZDB-MIRNAG-090929-183
gene-mir204-1,26574522,26574614,ZDB-MIRNAG-041217-18
gene-mir206-1,22004329,22004427,ZDB-MIRNAG-050609-28
gene-mir206-2,7099238,7099346,ZDB-MIRNAG-090929-187
gene-mir20b,35976949,35977042,ZDB-MIRNAG-081209-1
gene-mir210,26738539,26738611,ZDB-MIRNAG-041228-8
gene-mir214a,16133253,16133352,ZDB-MIRNAG-041217-8
gene-mir217-1,30650248,30650345,ZDB-MIRNAG-041228-12
gene-mir218a-1,28834690,28834772,ZDB-MIRNAG-081208-25
gene-mir218a-2,25446215,25446302,ZDB-MIRNAG-041228-1
gene-mir218b,22551388,22551463,ZDB-MIRNAG-090929-194
gene-mir219-1,10982397,10982487,ZDB-MIRNAG-081208-20
gene-mir219-2,71035546,71035625,ZDB-MIRNAG-081208-21
gene-mir219-3,21111880,21112029,ZDB-MIRNAG-081208-22
gene-mir22b,13295072,13295153,ZDB-MIRNAG-081209-4
gene-mir23a-1,5526881,5526969,ZDB-MIRNAG-050103-10
gene-mir23a-2,11940614,11940711,ZDB-MIRNAG-081209-5
gene-mir23a-3,36873144,36873221,ZDB-MIRNAG-081209-6
gene-mir24-1,18241889,18241968,ZDB-MIRNAG-050103-11
gene-mir24-3,32242647,32242788,ZDB-MIRNAG-081209-9
gene-mir25,39604,39685,ZDB-MIRNAG-041228-18
gene-mir26a-2,24598850,24598977,ZDB-MIRNAG-081210-4
gene-mir26a-3,24342794,24342930,ZDB-MIRNAG-081210-5
gene-mir27a,36875030,36875160,ZDB-MIRNAG-050103-13
gene-mir27b,32247590,32247680,ZDB-MIRNAG-081210-8
gene-mir27c,11940839,11940926,ZDB-MIRNAG-081210-9
gene-mir27d,18235781,18235869,ZDB-MIRNAG-081210-10
gene-mir29a-1,12177409,12177534,ZDB-MIRNAG-050103-14
gene-mir301b,13979199,13979279,ZDB-MIRNAG-090929-198
gene-mir301c,22300674,22300756,ZDB-MIRNAG-090929-199
gene-mir30a,5665666,5665754,ZDB-MIRNAG-081210-16
gene-mir30d,26636917,26637044,ZDB-MIRNAG-081210-19
gene-mir30e-2,31022374,31022453,ZDB-MIRNAG-090929-100
gene-mir34a,25529988,25530085,ZDB-MIRNAG-041217-1
gene-mir34b,63172624,63172708,ZDB-MIRNAG-071012-2
gene-mir34c,63172387,63172470,ZDB-MIRNAG-071012-3
gene-mir363,35976453,35976579,ZDB-MIRNAG-090929-204
gene-mir365-1,42786215,42786303,ZDB-MIRNAG-090929-205
gene-mir429b,43209085,43209194,ZDB-MIRNAG-091023-5
gene-mir430a-1,4795727,4795808,ZDB-MIRNAG-090929-33
gene-mir430b-15,31289998,31290078,ZDB-MIRNAG-090929-271
gene-mir430c-1,31275795,31275867,ZDB-MIRNAG-050608-8
gene-mir430c-2,31272917,31272989,ZDB-MIRNAG-090929-214
gene-mir430c-3,31278731,31278803,ZDB-MIRNAG-090929-215
gene-mir430c-4,31276989,31277061,ZDB-MIRNAG-090929-216
gene-mir430c-5,31280472,31280544,ZDB-MIRNAG-090929-217
gene-mir430c-6,31283941,31284013,ZDB-MIRNAG-090929-218
gene-mir454a,38373760,38373883,ZDB-MIRNAG-081204-1
gene-mir454b,13986359,13986474,ZDB-MIRNAG-090929-212
gene-mir456,24187622,24187706,ZDB-MIRNAG-090929-282
gene-mir457a,26103158,26103240,ZDB-MIRNAG-090929-283
gene-mir457b,36031775,36031852,ZDB-MIRNAG-090929-284
gene-mir458,29431728,29431805,ZDB-MIRNAG-090929-285
gene-mir459,2260035,2260115,ZDB-MIRNAG-090929-286
gene-mir460,2461484,2461560,ZDB-MIRNAG-090929-287
gene-mir489,43410592,43410695,ZDB-MIRNAG-090929-290
gene-mir499a,27277390,27277480,ZDB-MIRNAG-090929-300
gene-mir725,24187644,24187723,ZDB-MIRNAG-090929-303
gene-mir726,27548509,27548595,ZDB-MIRNAG-090929-304
gene-mir729,14160520,14160618,ZDB-MIRNAG-090929-307
gene-mir730,23345678,23345761,ZDB-MIRNAG-090929-309
gene-mir734,37668907,37668999,ZDB-MIRNAG-090929-314
gene-mir738,63661907,63662004,ZDB-MIRNAG-090929-318
gene-mir740,33749479,33749592,ZDB-MIRNAG-090929-319
gene-mir7a-1,13305230,13305308,ZDB-MIRNAG-071204-1
gene-mir7a-2,14456505,14456601,ZDB-MIRNAG-081205-7
gene-mir7a-3,63407577,63407696,ZDB-MIRNAG-081208-1
gene-mir9-2,48799385,48799520,ZDB-MIRNAG-081013-1
gene-mir92a-1,4186322,4186406,ZDB-MIRNAG-090929-101
gene-mir92a-2,55738831,55738925,ZDB-MIRNAG-090929-102
gene-mir92b,47334832,47334913,ZDB-MIRNAG-081203-9
gene-mir9-3,9349075,9349175,ZDB-MIRNAG-081013-2
gene-mir93,39877,39950,ZDB-MIRNAG-050609-34
gene-mir9-4,17949175,17949261,ZDB-MIRNAG-081013-3
gene-mir9-5,52226281,52226367,ZDB-MIRNAG-070720-2
gene-mir9-6,14382418,14382505,ZDB-MIRNAG-081013-4
gene-mir9-7,60772886,60772969,ZDB-MIRNAG-081013-5
gene-mirlet7a-1,29599313,29599401,ZDB-MIRNAG-041217-3
gene-mirlet7a-2,23902019,23902102,ZDB-MIRNAG-041228-7
gene-mirlet7a-3,19246041,19246147,ZDB-MIRNAG-041217-26
gene-mirlet7a-4,30606161,30606253,ZDB-MIRNAG-050103-2
gene-mirlet7a-5,5464688,5464811,ZDB-MIRNAG-081203-1
gene-mirlet7a-6,57210366,57210494,ZDB-MIRNAG-081203-2
gene-mirlet7c-1,32300277,32300383,ZDB-MIRNAG-081203-5
gene-mirlet7c-2,43193352,43193443,ZDB-MIRNAG-081203-6
gene-mirlet7d-1,26175599,26175695,ZDB-MIRNAG-050103-3
gene-mirlet7d-2,10521201,10521288,ZDB-MIRNAG-081203-12
gene-mirlet7f,29599098,29599213,ZDB-MIRNAG-081203-16
gene-mirlet7g-1,21284287,21284382,ZDB-MIRNAG-081203-17
gene-mirlet7g-2,31470919,31471015,ZDB-MIRNAG-081203-20
gene-mirlet7j,44010938,44011020,ZDB-MIRNAG-081203-24
gene-mkrn2os.2,599333,604359,ZDB-GENE-160114-87
gene-mmp25a,31406831,31442430,ZDB-GENE-070820-22
gene-mon1ba,11248503,11259980,ZDB-GENE-081104-318
gene-mpeg1.3,31738325,31740548,ZDB-GENE-081105-5
gene-mpp4a,13828965,13859471,ZDB-GENE-070912-523
gene-mrap2b,1159598,1168161,ZDB-GENE-100729-5
gene-mrm1,61450215,61455993,ZDB-GENE-060526-229
gene-msh4,48874857,48906212,ZDB-GENE-131121-643
gene-msh5,42655410,42675834,ZDB-GENE-131127-632
gene-mtcl2,9529932,9622245,ZDB-GENE-090313-188
gene-mtnr1ab,34613060,34656539,ZDB-GENE-080107-4
gene-mxf,5318127,5568617,ZDB-GENE-030721-9
gene-mxh,20924084,20938636,ZDB-GENE-131126-68
gene-mxra5a,36835682,36846340,ZDB-GENE-090312-22
gene-myha,32862305,32872987,ZDB-GENE-060531-50
gene-myo16,7889308,8246457,ZDB-GENE-070912-470
gene-myo1ha,20132482,20163800,ZDB-GENE-060531-78
gene-myripa,34593700,34631521,ZDB-GENE-070705-17
gene-nampt3.2,36693142,36696796,ZDB-GENE-081031-61
gene-nbeal2,16397770,16576025,ZDB-GENE-100922-283
gene-ncanb,17558196,17850953,ZDB-GENE-050208-586
gene-nectin4b,61982360,62033802,ZDB-GENE-070912-114
gene-negaly6,25991775,25997670,ZDB-GENE-131121-604
gene-nemp2,43189177,43210988,ZDB-GENE-081104-413
gene-neu3.4,23270516,23272533,ZDB-GENE-071220-1
gene-nfat5b,72765420,72867724,ZDB-GENE-140106-7
gene-nfkbil1,8588900,8594864,ZDB-GENE-040116-7
gene-nid2b,9810844,9843599,ZDB-GENE-040724-143
gene-nitr12,17251085,17256750,ZDB-GENE-041001-1
gene-nitr1k,17528621,17532320,ZDB-GENE-001106-5
gene-nitr3a,17397689,17409157,ZDB-GENE-001106-8
gene-nitr3c,17401628,17413841,ZDB-GENE-041001-13
gene-nitr3r.1l,17351870,17353123,ZDB-GENE-030616-364
gene-nitr7a,17322590,17383417,ZDB-GENE-041001-9
gene-nkd3l,35831780,35833899,ZDB-GENE-060503-555
gene-nlrc10,61342487,61353460,ZDB-GENE-070424-113
gene-nlrc7,9591414,9620174,ZDB-GENE-070912-478
gene-nlrc9,44149118,44167702,ZDB-GENE-070912-362
gene-nlrp12l,34862119,34874822,ZDB-GENE-090313-181
gene-nlrp16,44622889,44634081,ZDB-GENE-030131-8582
gene-nmba,28223427,28224332,ZDB-GENE-050419-3
gene-nmbr,40540532,40561833,ZDB-GENE-041014-369
gene-nmnat3,42086777,42116208,ZDB-GENE-070912-331
gene-nmur1a,37497175,37533915,ZDB-GENE-081104-220
gene-nox5,8627868,8649075,ZDB-GENE-091120-9
gene-noxred1,50127922,50154444,ZDB-GENE-130530-573
gene-npas1,9594701,9686569,ZDB-GENE-060503-934
gene-npffr1l2,14885876,14959266,ZDB-GENE-060526-110
gene-npy2r,27324930,27329836,ZDB-GENE-040924-8
gene-nrn1la,23171796,23248735,ZDB-GENE-050419-106
gene-nsmfa,14852517,14934805,ZDB-GENE-091204-32
gene-ntrnl2,8287983,8291092,ZDB-GENE-160114-71
gene-ntsr1,19329620,19490646,ZDB-GENE-090313-372
gene-nxpe3l,6002241,6015064,ZDB-GENE-091117-36
gene-nxph2b,36135621,36146906,ZDB-GENE-090708-1
gene-ogfrl1,31282743,31300595,ZDB-GENE-061207-32
gene-olfcd1,36123186,36130043,ZDB-GENE-100721-9
gene-olfce2,36043518,36047593,ZDB-GENE-120214-20
gene-olfcg1,35728380,35731681,ZDB-GENE-060503-630
gene-olfcg12,35316796,35325742,ZDB-GENE-050419-156
gene-olfcg2,35800282,35803905,ZDB-GENE-060503-253
gene-olfcg3,35834484,35839907,ZDB-GENE-060503-159
gene-olfcg4,35863236,35866241,ZDB-GENE-060503-66
gene-olfcg5,35876717,35879863,ZDB-GENE-060503-913
gene-olfcg6,35685363,35688567,ZDB-GENE-081029-9
gene-olfcg7,35664102,35668657,ZDB-GENE-081029-5
gene-olfcg8,35587688,35592958,ZDB-GENE-081030-12
gene-olfcg9,35556746,35561517,ZDB-GENE-081029-6
gene-olfch1,35880908,35884196,ZDB-GENE-060503-819
gene-olfcj1,35894244,35897473,ZDB-GENE-060503-724
gene-olfck1,36196612,36207117,ZDB-GENE-050419-130
gene-olfck2,36223221,36228258,ZDB-GENE-050419-85
gene-olfck3,36234682,36244892,ZDB-GENE-100723-1
gene-olfcn1,36076424,36087028,ZDB-GENE-061117-2
gene-olfcq1,36253324,36259593,ZDB-GENE-050419-221
gene-olfcq10,36434236,36438639,ZDB-GENE-050419-265
gene-olfcq11,36463258,36468390,ZDB-GENE-060503-641
gene-olfcq12,36469466,36474725,ZDB-GENE-060503-735
gene-olfcq13,36482783,36490567,ZDB-GENE-060503-830
gene-olfcq14,36492311,36496869,ZDB-GENE-060503-924
gene-olfcq15,36498791,36508705,ZDB-GENE-060503-77
gene-olfcq16,36565610,36570135,ZDB-GENE-060503-264
gene-olfcq17,36588277,36592386,ZDB-GENE-060503-359
gene-olfcq18,36598873,36602799,ZDB-GENE-060503-454
gene-olfcq19,36732224,36736540,ZDB-GENE-070705-283
gene-olfcq2,36265861,36271006,ZDB-GENE-050419-264
gene-olfcq20,36826878,36833406,ZDB-GENE-060503-208
gene-olfcq4,36298989,36304665,ZDB-GENE-050419-86
gene-olfcq5,36319591,36325339,ZDB-GENE-050419-222
gene-olfcq6,36327179,36337176,ZDB-GENE-050419-42
gene-olfcq8,36380185,36387042,ZDB-GENE-050419-176
gene-olfcq9,36402842,36406709,ZDB-GENE-050419-131
