gid,gstart,gend,new_zdb
gene-slc7a1b,8410864,8448248,ZDB-GENE-040426-2105
gene-smim10l3,60272679,60277404,ZDB-GENE-260731-3
gene-ssh1a,20936004,21024931,ZDB-GENE-040724-201
gene-syde1,50929941,50970916,ZDB-GENE-190910-1
gene-syndig1,6282068,6379058,ZDB-GENE-260728-3
gene-taar10,49511161,49512983,ZDB-GENE-041014-55
gene-taco1,9862144,9872123,ZDB-GENE-070410-35
gene-tapbp.1,8093567,8098225,ZDB-GENE-010110-2
gene-tapbp.2,8120855,8125569,ZDB-GENE-060503-136
gene-tc2n,36577778,36594187,ZDB-GENE-260323-3
gene-tlcd4a,35252378,35299134,ZDB-GENE-090402-1
gene-tsc22d3,32295350,32374562,ZDB-GENE-040426-1433
gene-ttc16,71799380,71885283,ZDB-GENE-141219-15
gene-wdr21,31152740,31167630,ZDB-GENE-040109-2
gene-wu:fa26c03,18286702,18289211,ZDB-GENE-030131-5289
gene-wu:fi46h04,2361807,2494452,ZDB-GENE-101216-1
gene-wu:fk30a06,2365651,2369008,ZDB-GENE-030131-8872
gene-xpo1a,57101589,57130570,ZDB-GENE-050309-201
gene-zfat,26635953,26656856,ZDB-GENE-130204-2
gene-zgc:114046,37620029,37620773,ZDB-GENE-050320-24
gene-zgc:171673,74466888,74479129,ZDB-GENE-071004-20
gene-zgc:174259,29464450,29467426,ZDB-GENE-080213-10
gene-zgc:174855,18534364,18536872,ZDB-GENE-071004-74
gene-znf576.1,26432308,26458354,ZDB-GENE-131120-125
